PCON24CD,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented
W07000081,0.3,37.0,27.3,15.5,19.9
E14001063,1.8,27.7,35.5,20.0,15.1
E14001064,0.7,42.0,33.2,10.7,13.4
E14001065,0.6,37.7,36.4,13.8,11.4
W07000082,0.5,36.2,34.5,13.8,15.0
E14001066,0.6,39.2,30.7,14.8,14.7
E14001067,1.0,44.3,28.6,14.3,11.7
E14001068,0.6,35.9,31.1,16.9,15.4
E14001069,1.8,30.2,34.5,19.3,14.1
E14001070,0.4,29.1,28.4,19.6,22.5
E14001071,1.8,30.2,36.1,16.5,15.4
E14001072,1.7,33.8,30.0,19.4,15.1
W07000083,0.5,41.5,24.1,19.6,14.3
E14001073,2.4,13.1,26.2,25.6,32.8
E14001074,0.7,32.4,30.0,17.3,19.6
E14001075,0.9,30.3,27.4,19.1,22.3
E14001076,0.3,41.4,31.3,16.2,10.8
E14001077,1.1,29.5,32.3,13.0,24.0
E14001078,1.8,27.5,33.3,16.8,20.7
E14001079,0.6,36.6,30.5,16.6,15.8
E14001080,1.0,32.8,24.4,25.5,16.3
E14001081,2.4,15.9,21.2,38.0,22.5
E14001082,1.1,37.7,33.5,15.4,12.2
E14001083,1.1,28.0,33.7,22.8,14.5
E14001084,1.3,28.4,26.0,24.6,19.8
E14001085,3.0,9.2,14.5,36.1,37.2
E14001086,2.8,7.5,12.6,36.3,40.8
E14001087,0.6,44.4,29.7,15.8,9.6
E14001088,0.9,48.5,25.3,16.2,9.2
E14001089,1.2,33.9,37.2,13.4,14.3
E14001090,2.1,34.9,33.0,18.6,11.3
E14001091,0.9,28.1,25.4,23.0,22.5
E14001092,1.5,26.1,23.6,24.7,24.1
E14001093,1.3,25.1,26.5,21.8,25.2
E14001094,0.6,31.6,26.8,24.4,16.4
E14001095,1.5,26.6,27.5,15.8,28.5
E14001096,1.2,14.0,12.9,36.4,35.6
E14001097,2.1,27.3,27.2,14.8,28.7
E14001098,0.8,28.0,24.2,24.0,23.1
E14001099,1.6,27.8,26.8,22.7,21.0
E14001100,0.8,29.3,29.0,22.2,18.6
E14001101,0.3,38.1,25.3,18.6,17.8
E14001102,0.6,33.0,24.0,20.1,22.3
E14001103,1.0,23.6,23.9,22.6,28.8
E14001104,0.5,40.6,28.7,21.0,9.2
E14001105,0.4,28.8,25.1,34.9,10.8
W07000084,0.2,34.7,25.3,16.0,23.8
E14001106,0.4,34.9,32.0,15.2,17.5
E14001107,0.6,31.6,27.4,17.8,22.6
E14001108,1.3,41.9,25.5,21.0,10.3
E14001109,0.5,35.6,30.4,15.9,17.5
E14001110,0.5,33.2,26.7,18.0,21.5
E14001111,1.0,25.6,24.9,20.4,28.1
E14001112,0.6,38.1,33.5,15.0,12.9
E14001113,0.7,26.3,26.3,19.6,27.1
E14001114,1.3,38.1,22.0,21.9,16.7
E14001115,0.7,28.3,28.8,33.2,9.1
E14001116,0.7,28.8,26.1,31.6,12.8
E14001117,1.8,27.0,37.3,16.1,17.9
E14001118,0.7,27.4,28.3,24.7,18.8
E14001119,0.4,27.8,31.8,22.6,17.3
E14001120,0.6,27.0,25.3,31.0,16.2
E14001121,0.8,35.4,33.6,15.2,14.9
W07000085,0.4,46.5,22.5,16.4,14.3
E14001122,2.3,17.7,16.3,35.6,28.0
E14001123,2.1,24.9,20.6,37.4,15.0
E14001124,2.6,21.7,24.9,32.1,18.7
E14001125,0.9,37.2,34.8,15.1,12.0
W07000086,0.3,38.2,34.6,14.3,12.7
E14001126,1.0,36.5,28.7,19.5,14.2
E14001127,0.6,44.1,24.3,21.0,10.1
E14001128,0.5,42.5,33.2,14.2,9.5
E14001129,1.2,28.8,23.2,25.2,21.5
E14001130,1.0,24.3,27.6,35.7,11.3
E14001131,1.1,19.1,20.8,47.0,12.0
E14001132,1.0,24.5,31.6,23.7,19.2
E14001133,1.2,28.6,31.8,20.4,18.0
E14001134,0.8,31.1,30.4,18.2,19.5
E14001135,1.5,25.1,30.7,19.8,23.1
E14001136,1.0,45.2,29.1,13.8,10.9
E14001137,0.8,34.1,38.1,17.6,9.4
E14001138,1.1,42.4,35.1,10.6,10.7
E14001139,1.1,33.3,35.4,16.0,14.2
E14001140,0.5,39.5,30.7,17.9,11.4
E14001141,3.5,30.8,33.6,16.4,15.7
E14001142,0.3,33.8,27.3,23.8,14.7
E14001143,0.8,34.9,30.3,20.3,13.8
E14001144,0.5,35.8,31.7,17.0,15.0
E14001145,0.5,31.6,32.2,20.1,15.7
E14001146,1.2,37.8,27.8,18.2,15.0
W07000087,0.4,46.6,25.1,15.1,12.9
W07000088,0.3,35.7,33.2,12.9,17.9
E14001147,0.6,37.5,31.5,18.2,12.2
E14001148,1.6,39.6,26.0,19.0,13.7
E14001149,2.0,23.6,18.7,33.0,22.8
E14001150,0.9,33.9,33.2,15.8,16.2
E14001151,0.9,36.3,24.4,24.2,14.1
W07000089,0.6,27.0,27.8,24.9,19.7
W07000090,0.6,38.2,35.6,15.3,10.3
W07000091,0.5,25.6,25.9,33.2,14.7
W07000092,0.5,31.0,31.4,17.9,19.1
E14001152,0.9,37.5,28.8,17.9,14.9
E14001153,1.3,26.5,37.1,15.8,19.3
E14001154,0.4,45.4,34.8,14.0,5.4
E14001155,1.0,44.3,26.9,18.0,9.9
E14001156,0.7,42.4,31.1,13.8,12.1
W07000093,0.3,49.2,20.7,19.3,10.4
E14001157,1.6,29.7,35.7,17.8,15.2
E14001158,0.8,43.7,38.0,11.0,6.5
E14001159,1.3,31.9,33.4,18.5,14.8
E14001160,1.2,18.6,17.1,38.1,25.0
E14001161,0.8,34.0,28.6,24.7,11.9
E14001162,0.7,39.6,35.1,12.5,12.0
E14001163,1.0,35.8,27.2,19.8,16.2
E14001164,1.5,43.2,32.2,13.9,9.3
E14001165,0.5,35.9,26.6,16.4,20.6
E14001166,1.7,42.9,23.2,18.0,14.2
E14001167,1.1,30.3,33.7,18.6,16.3
E14001168,1.4,35.5,32.3,16.4,14.5
E14001169,1.1,32.0,32.3,23.3,11.2
E14001170,0.7,35.4,35.2,14.4,14.3
E14001171,0.9,51.3,25.6,12.1,10.1
E14001172,0.9,18.6,11.0,47.0,22.5
E14001173,0.4,35.3,27.2,18.3,18.7
E14001174,0.5,49.4,22.3,20.2,7.6
E14001175,1.7,11.1,20.7,32.8,33.7
W07000094,0.6,43.8,28.7,14.8,12.1
W07000095,0.8,38.5,25.8,20.9,14.0
E14001176,0.6,26.8,30.4,26.7,15.5
E14001177,0.6,39.0,34.2,17.4,8.8
E14001178,1.5,42.5,33.9,11.5,10.7
E14001179,1.1,30.6,33.9,18.0,16.5
E14001180,1.0,27.1,25.8,23.6,22.6
E14001181,0.9,32.9,30.3,23.8,12.2
E14001182,0.7,30.3,26.2,27.1,15.8
E14001183,0.9,33.3,34.0,11.8,19.9
E14001184,1.5,24.0,31.7,19.8,22.9
E14001185,1.1,34.8,30.4,20.1,13.6
E14001186,1.2,27.4,30.6,19.5,21.3
E14001187,1.6,31.8,37.6,19.2,9.8
E14001188,2.1,15.3,24.3,36.3,21.9
E14001189,1.3,24.7,31.8,19.4,22.8
E14001190,0.5,32.2,28.8,21.4,17.2
E14001191,2.6,26.0,38.7,18.8,14.0
E14001192,1.5,37.3,34.8,13.8,12.8
E14001193,1.0,31.0,27.3,21.8,19.0
E14001194,0.9,26.8,25.4,24.1,22.9
E14001195,1.0,46.2,26.7,14.6,11.6
E14001196,0.8,32.5,27.6,19.4,19.7
E14001197,2.9,33.0,35.0,14.7,14.4
E14001198,0.6,31.3,27.5,24.0,16.6
E14001199,0.6,39.7,32.5,14.6,12.6
E14001200,0.8,34.0,29.0,17.8,18.4
E14001201,1.5,39.5,33.9,14.2,10.9
E14001202,0.8,38.2,27.2,19.5,14.2
E14001203,1.3,38.9,30.1,13.5,16.2
E14001204,1.0,32.8,26.7,14.2,25.3
E14001205,1.7,15.3,24.4,24.6,33.9
E14001206,1.7,30.9,37.5,15.3,14.6
W07000096,0.5,46.5,21.7,15.8,15.4
E14001207,2.5,18.9,20.0,38.6,19.9
E14001208,2.0,23.6,26.3,28.3,19.8
E14001209,2.2,24.8,23.6,33.0,16.5
E14001210,2.1,31.3,38.2,16.0,12.4
E14001211,0.4,32.7,26.9,17.1,23.0
E14001212,1.2,39.7,34.8,14.5,9.7
E14001213,1.3,17.7,20.5,38.9,21.6
E14001214,1.4,41.4,31.4,13.7,12.1
E14001215,1.3,36.1,37.4,13.2,12.0
E14001216,0.5,34.0,24.0,28.3,13.2
E14001217,1.3,33.3,26.8,22.7,15.9
E14001218,0.7,38.9,33.3,16.7,10.5
E14001219,0.7,35.8,23.9,26.6,13.0
E14001220,1.9,36.2,35.5,13.8,12.6
E14001221,1.1,25.8,24.1,29.8,19.2
E14001222,1.0,33.2,33.1,14.9,17.8
E14001223,1.5,26.2,31.6,16.4,24.3
E14001224,1.6,36.4,31.8,16.6,13.6
E14001225,1.6,23.9,27.1,27.7,19.8
E14001226,0.8,33.4,34.8,15.5,15.5
E14001227,1.2,36.5,36.5,16.2,9.7
E14001228,0.6,35.6,32.3,18.0,13.5
E14001229,2.0,16.8,24.5,25.4,31.4
E14001230,1.2,33.7,38.7,16.1,10.2
E14001231,0.9,29.5,24.3,28.0,17.3
E14001232,2.0,40.2,29.7,16.2,11.9
E14001233,1.1,41.6,32.8,13.1,11.4
E14001234,1.3,37.3,35.2,13.9,12.4
E14001235,1.7,36.5,33.3,12.8,15.7
E14001236,2.7,20.3,25.0,27.4,24.5
E14001237,1.4,30.6,36.9,20.3,10.7
E14001238,0.8,26.9,23.3,38.3,10.8
E14001239,0.8,38.3,25.1,24.2,11.5
E14001240,0.9,44.5,28.5,13.4,12.7
E14001241,1.0,39.9,31.2,15.8,12.1
E14001242,0.8,44.0,28.7,18.8,7.8
E14001243,1.0,41.5,28.8,17.8,10.9
E14001244,0.6,29.1,26.4,19.7,24.2
E14001245,0.6,39.0,33.9,16.5,10.1
E14001246,1.1,33.7,32.6,21.8,10.7
E14001247,1.3,43.4,25.9,16.7,12.7
E14001248,1.3,29.8,31.5,22.4,15.0
E14001249,1.4,38.1,34.0,14.1,12.4
E14001250,0.6,41.1,33.3,16.1,8.9
E14001251,1.0,23.9,25.4,24.5,25.1
E14001252,1.3,37.2,29.2,17.5,14.8
W07000097,0.5,44.1,31.7,12.4,11.3
E14001253,1.0,37.3,30.4,18.5,12.7
E14001254,1.3,31.2,31.0,19.1,17.4
E14001255,0.6,30.9,26.0,27.2,15.4
E14001256,0.5,38.1,23.7,21.5,16.2
E14001257,3.3,11.3,22.7,30.6,32.2
E14001258,1.5,33.0,30.3,21.9,13.2
E14001259,1.8,12.0,16.9,32.2,37.1
E14001260,3.3,7.7,13.2,31.2,44.6
E14001261,0.7,36.4,30.7,14.2,18.0
E14001262,0.4,31.7,28.6,22.5,16.9
E14001263,1.7,36.5,38.0,14.1,9.7
E14001264,1.5,17.7,18.3,36.0,26.5
E14001265,0.9,19.9,17.5,38.6,23.0
E14001266,1.4,41.6,32.9,15.5,8.6
E14001267,1.4,25.9,31.5,15.2,26.1
E14001268,0.5,39.2,36.2,12.9,11.3
E14001269,1.0,39.0,30.5,19.5,10.0
E14001270,1.3,33.3,27.3,27.8,10.3
E14001271,1.6,24.4,27.5,34.8,11.7
E14001272,0.8,31.2,27.0,17.5,23.5
E14001273,0.6,41.8,30.4,17.2,10.0
E14001274,0.6,33.9,24.6,26.7,14.2
E14001275,1.0,37.7,28.3,12.6,20.4
E14001276,1.8,20.1,26.7,31.3,20.0
E14001277,1.3,41.0,33.9,11.6,12.2
E14001278,0.8,26.8,32.0,15.1,25.3
E14001279,1.8,20.7,23.9,35.4,18.1
E14001280,1.1,41.6,30.9,15.3,11.1
E14001281,1.0,38.8,24.9,19.5,15.9
E14001282,0.9,43.4,28.7,18.2,8.8
E14001283,1.6,32.6,35.3,17.6,12.9
E14001284,1.1,32.1,33.1,16.8,16.8
E14001285,0.6,42.5,27.3,15.5,14.1
E14001286,0.7,30.5,30.1,17.5,21.2
E14001287,0.8,40.1,30.8,16.1,12.2
E14001288,0.9,39.0,34.6,14.9,10.6
E14001289,1.7,32.5,36.0,15.1,14.7
E14001290,1.2,12.6,10.7,32.2,43.3
E14001291,1.3,48.9,23.8,15.9,10.1
E14001292,0.8,36.1,34.6,13.0,15.5
E14001293,1.4,22.3,26.8,33.9,15.6
E14001294,1.9,35.9,34.8,15.6,11.7
E14001295,0.4,31.6,28.3,11.6,28.1
E14001296,0.8,25.8,29.2,33.1,11.0
E14001297,0.7,30.9,25.4,24.1,18.9
E14001298,1.5,36.0,32.4,17.5,12.6
E14001299,0.3,34.3,29.0,22.8,13.7
E14001300,1.3,28.1,32.2,27.2,11.2
E14001301,1.4,21.9,25.9,36.9,13.9
E14001302,0.8,27.0,26.4,25.1,20.7
E14001303,0.7,46.0,21.4,21.7,10.2
E14001304,1.0,42.6,25.3,19.6,11.6
E14001305,1.8,12.1,17.1,31.3,37.7
E14001306,2.3,11.1,13.5,31.2,42.0
E14001307,0.4,27.2,26.9,12.1,33.5
E14001308,0.7,38.9,30.5,19.8,10.1
E14001309,1.5,42.4,33.2,12.5,10.4
E14001310,1.2,18.7,11.5,42.5,26.0
E14001311,1.6,32.1,33.3,19.6,13.4
E14001312,0.8,26.5,32.6,28.3,11.8
E14001313,0.9,24.6,26.3,17.8,30.3
E14001314,0.6,26.3,26.1,25.0,22.0
E14001315,0.9,29.3,27.7,22.7,19.4
E14001316,0.5,46.9,31.0,10.5,11.0
E14001317,1.0,26.7,29.3,15.5,27.5
E14001318,1.3,38.8,28.2,20.2,11.5
E14001319,0.7,15.2,16.7,44.8,22.6
E14001320,0.9,28.0,28.5,16.6,26.0
E14001321,0.6,31.9,32.3,18.8,16.4
E14001322,0.8,39.1,35.6,12.6,11.9
E14001323,1.0,16.8,19.7,30.3,32.2
E14001324,0.7,31.3,36.1,17.0,15.0
E14001325,0.8,25.8,31.0,20.5,21.9
E14001326,1.0,28.6,26.1,24.3,20.1
E14001327,0.5,24.3,18.3,34.8,22.2
E14001328,0.9,21.6,21.9,29.1,26.6
E14001329,0.9,31.9,31.4,18.3,17.5
E14001330,0.9,45.2,28.0,16.3,9.6
E14001331,1.2,18.0,28.6,24.4,27.7
E14001332,2.5,11.1,21.4,31.7,33.2
E14001333,1.0,18.3,32.1,25.0,23.6
E14001334,1.2,21.8,26.3,31.9,18.7
E14001335,1.0,41.9,31.7,12.7,12.7
E14001336,1.2,27.4,25.5,26.4,19.5
E14001337,1.0,32.7,29.7,13.8,22.7
E14001338,1.0,12.7,11.2,38.1,37.0
E14001339,0.7,26.6,25.9,19.7,27.1
